"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Post User","Negative Scenario","Sends email and password, gets response and validates it, gets data from dataprovider","0","0","3","0","0"
"Books","Get all books","Validate that the data on the website and API is the same","0","0","1","0","0"
"Generate Token","Generate token for unauthorized user","Generates the token for given user","0","0","1","0","0"
"Generate Token","Generate token for unauthorized user","Checks if the given user is authorized, after generating token","0","0","1","0","0"
"Generate Token","Negative Cases","GenerateToken","0","0","3","0","0"
"Generate Token","Generate token for unauthorized user","Checks if the given user is authorized, before generating token","1","0","0","0","0"
"Books","Get a Single Book","Get a book from the Site and the API and Compare the data sets","0","0","1","0","0"
"Books","login and validate add book","validate test","1","0","0","0","0"
"Generate Token","Generate token for unauthorized user","Adds an user and gets the list of books","0","0","1","0","0"
